stand,latcoord,longcoord
110,48.353771944444446,11.783121666666668
111,48.35321597222222,11.783264583333334
111A,48.353290972222226,11.783255694444446
111B,48.35314430555556,11.783272499999999
112,48.352828333333335,11.783190277777779
112X,48.352828333333335,11.783190277777779
113A,48.35234638888889,11.783292638888888
113B,48.352271944444446,11.783304305555555
113X,48.35238722222222,11.783255972222221
115A,48.351353055555556,11.78349125
115B,48.351216111111114,11.783513750000001
116,48.3508925,11.783542222222222
117A,48.35060555555556,11.783654861111112
117B,48.35043972222223,11.783682222222222
118,48.34999194444445,11.783673333333333
119,48.34948833333333,11.78372
120,48.34899472222222,11.783816944444444
121,48.348641111111114,11.783872777777777
135,48.352632222222226,11.780469166666668
155,48.35255333333333,11.779221111111111
161,48.351125833333334,11.779390000000001
161Y,48.351213055555554,11.779339444444446
162,48.35068666666667,11.779530555555557
163,48.35017972222222,11.779598055555557
163Y,48.35012861111111,11.779566666666668
164,48.34970944444445,11.779534166666668
164Y,48.34952944444445,11.779682222222222
171,48.35738222222222,11.776164166666668
172,48.35695416666667,11.776246666666667
173,48.356519166666665,11.776300833333334
174,48.356095277777776,11.776375000000002
175,48.355608611111116,11.776459444444445
181,48.354956111111115,11.77648138888889
182,48.354595833333335,11.776567222222223
183,48.354171111111114,11.776627222222222
184,48.353681111111115,11.776719166666668
185,48.353215,11.7768075
186,48.352715,11.776893888888889
187,48.352229722222226,11.776985000000002
188,48.35180555555556,11.777052222222222
189,48.35142527777778,11.777126666666668
191,48.350907222222226,11.777230555555557
192,48.350477222222224,11.777302500000001
193,48.35003638888889,11.77738138888889
194,48.3496175,11.777457222222223
195,48.34918583333334,11.777534722222223
201,48.35892944444445,11.7921975
202A,48.35850944444445,11.792364027777777
202B,48.35840486111111,11.792383472222221
203,48.35815930555556,11.792432916666666
204A,48.357892638888885,11.792435416666667
204B,48.35778027777778,11.792450833333334
205A,48.35747888888889,11.7924625
205B,48.35737944444445,11.79247625
206,48.35711861111111,11.792513611111112
207A,48.35690319444444,11.792552083333334
207B,48.35676194444444,11.792575833333334
208,48.356432500000004,11.792746388888888
209A,48.35605402777778,11.792740416666668
209B,48.35589152777778,11.792766527777777
210A,48.35560569444445,11.792863749999999
210B,48.35547041666666,11.792883333333332
211,48.35526652777778,11.792940277777777
212A,48.35501569444445,11.792952916666668
212B,48.35489472222223,11.792972916666667
213A,48.354603611111116,11.793052222222222
213B,48.35444180555555,11.79307875
214,48.35411611111111,11.79316
215A,48.35356486111111,11.793199027777778
215B,48.35344222222223,11.793216944444445
216,48.353049444444444,11.7932675
217A,48.35272180555556,11.793321388888888
217B,48.35255444444444,11.793341944444444
218,48.35235930555555,11.793363750000001
219A,48.352100138888886,11.793386944444444
219B,48.35198333333334,11.793406527777778
220A,48.35169055555556,11.793443611111112
220B,48.351557916666664,11.793464583333332
221,48.35134361111111,11.79360111111111
222A,48.35110208333334,11.793579027777778
222B,48.350955416666665,11.793601249999998
223A,48.35067,11.793630416666666
223B,48.350528611111116,11.793654722222222
224A,48.35024847222222,11.793688333333334
224B,48.350102638888885,11.793705694444444
231,48.35096027777778,11.7918025
232,48.35061694444445,11.791865555555555
233,48.350295833333334,11.79191638888889
234,48.34997027777778,11.791992222222222
244,48.35732194444444,11.796878055555556
245,48.35669361111111,11.79696388888889
246,48.356409444444445,11.796970277777778
247,48.356121111111115,11.7972275
248A,48.355890277777775,11.797231944444444
248B,48.35568958333333,11.797273055555555
249A,48.35535319444445,11.797322916666666
249B,48.35518333333333,11.797349722222222
250,48.35472638888889,11.797503611111111
251A,48.35424194444444,11.7975
251B,48.354025416666666,11.797526805555556
252A,48.35370694444445,11.797595972222222
252B,48.35351111111111,11.797615694444444
253,48.353185277777776,11.797548333333333
254,48.35282083333333,11.797601111111112
255,48.35244277777778,11.797684444444444
256,48.35208138888889,11.797736944444445
261,48.35008194444445,11.797893333333334
262,48.350110416666666,11.798278611111112
263,48.35013722222223,11.798617222222223
301A,48.35746888888889,11.799457499999999
301,48.35727513888889,11.799485138888889
301B,48.35707361111111,11.799515555555555
302,48.35649305555556,11.799640694444445
302A,48.35668222222222,11.799616805555555
302B,48.35630069444444,11.799674166666666
308,48.35588833333333,11.7999325
309,48.35547805555556,11.799967222222222
310,48.35507805555556,11.800060555555556
311,48.354666944444446,11.800125555555557
312,48.35424444444445,11.80020138888889
313,48.353794444444446,11.800055
317,48.353216527777775,11.800281250000001
317A,48.35340666666667,11.80024638888889
317B,48.35301777777778,11.800306666666668
318,48.352427500000005,11.800392361111111
318A,48.35262569444444,11.800370000000001
318B,48.35221125,11.80041152777778
321,48.35639611111111,11.802157222222222
322,48.35598027777778,11.802241111111112
323,48.355515555555556,11.802314444444445
324,48.35509972222222,11.802398333333334
325,48.35472416666667,11.802457777777779
327,48.35362277777778,11.802801666666667
328,48.35308166666667,11.803058611111112
329,48.35279055555556,11.803065833333335
330,48.352249444444446,11.803071666666668
341,48.350210000000004,11.799364166666667
342,48.35022861111111,11.7999125
343,48.35026083333334,11.800443055555556
344,48.35030416666667,11.80099388888889
345,48.35028833333333,11.801534722222224
346,48.35036888888889,11.802062222222222
347,48.350408055555555,11.802621111111112
348,48.35043527777778,11.803152222222224
349,48.35042138888889,11.803719444444445
352A,48.35061388888889,11.804500833333334
352,48.35063819444444,11.804795416666668
352B,48.35066444444445,11.805089722222224
353A,48.35071138888889,11.805692361111113
353,48.350730416666664,11.805967777777777
353B,48.350750000000005,11.806258750000001
354A,48.350795833333336,11.80681513888889
354,48.35081430555556,11.80709013888889
354B,48.35083875,11.807354861111111
355A,48.35088111111111,11.807897916666668
355,48.35090375,11.808168472222222
355B,48.35092680555556,11.808434861111113
356A,48.35095486111111,11.808981944444445
356,48.35098,11.809256805555556
356B,48.35099458333333,11.809534722222223
371A,48.35105138888889,11.810113888888889
371,48.351073194444446,11.810389444444446
371B,48.35108805555555,11.81065375
372B,48.351130833333336,11.811212083333334
372,48.35115319444445,11.811493472222224
511,48.35239416666667,11.804120277777779
512,48.35243638888889,11.804742222222224
513,48.35248333333333,11.805355
514,48.352534166666665,11.805969722222223
515,48.35258027777778,11.80659027777778
516,48.352625555555555,11.807203333333334
517,48.352673333333335,11.807823611111111
518,48.35272055555556,11.808439166666668
519,48.35276777777778,11.809054444444445
520,48.35281527777778,11.809669722222223
521,48.35285944444445,11.810288055555556
522,48.35290666666667,11.810903333333334
523,48.35295416666667,11.811521111111112
581,48.359184444444445,11.801963333333335
582,48.35918916666667,11.802525000000001
583,48.35919388888889,11.803336666666667
584,48.35944861111111,11.803898333333334
585,48.359453333333335,11.80446
586,48.35945805555556,11.805021666666667
591,48.35752305555555,11.803059166666667
592,48.357527222222224,11.803613611111112
593,48.35778138888889,11.804167777777778
594,48.35778555555556,11.804722222222223
595,48.35778972222222,11.805026388888889
601,48.34579625,11.756339444444444
601A,48.345810972222225,11.756622083333333
601B,48.345777222222225,11.756041944444444
602,48.34571152777778,11.755249305555555
602A,48.345734722222225,11.755543472222222
602B,48.34568319444445,11.754933888888889
603,48.34562944444445,11.754155416666666
603A,48.345657361111115,11.754438194444445
603B,48.34559916666667,11.753864583333334
604,48.345553333333335,11.753076944444445
604A,48.34557902777778,11.7533575
604B,48.345524166666664,11.752792916666667
605,48.345453472222225,11.75200375
605A,48.34547583333334,11.75228375
605B,48.34542375000001,11.751704861111111
606,48.34537430555555,11.750910416666667
606A,48.34539763888889,11.751197083333334
606B,48.34534805555556,11.75061611111111
607,48.34529972222222,11.749832083333331
607A,48.34532291666667,11.75011097222222
607B,48.34527861111111,11.749517916666665
611,48.345043055555564,11.746968472222221
612,48.345014722222224,11.74664138888889
613,48.344994444444445,11.746337916666667
614,48.34473138888889,11.745835833333333
701A,48.346675833333336,11.76500361111111
701B,48.346670833333334,11.765004722222223
701C,48.346404166666666,11.7650075
701D,48.346135000000004,11.765010833333333
702A,48.34666666666667,11.763634444444444
702B,48.34641166666667,11.763635277777778
702C,48.346395,11.763638333333333
702D,48.34612583333334,11.763891666666666
703A,48.346407500000005,11.762515555555556
703B,48.3464025,11.762516388888889
703C,48.346135555555556,11.762519444444445
703D,48.34611666666667,11.762522777777777
801A,48.347233333333335,11.77224527777778
801B,48.34722805555556,11.77224638888889
801C,48.34696138888889,11.772249166666667
801D,48.346692222222224,11.772502500000002
802A,48.34722444444445,11.771130833333334
802B,48.34696916666667,11.771131666666667
802C,48.3469525,11.771134722222223
802D,48.34668333333334,11.771138055555557
803A,48.34696527777778,11.770014166666668
803B,48.34696027777778,11.770015
803C,48.346693611111114,11.770018055555557
803D,48.346674444444446,11.770021388888889
804A,48.34695666666667,11.768900277777778
804B,48.34695166666667,11.768901111111113
804C,48.34668472222222,11.768904166666667
804D,48.34641583333334,11.768907500000001
805A,48.34694777777778,11.76778638888889
805B,48.34669277777778,11.767787222222223
805C,48.346676111111115,11.76779027777778
805D,48.346406944444446,11.767793611111111
901,48.34881305555556,11.772848055555556
902,48.34881861111111,11.771665833333333
903,48.34865055555556,11.77069
904,48.348581111111116,11.769471944444446
905,48.348488055555556,11.768532222222223
906,48.34840833333334,11.767388333333335
907,48.348327222222224,11.7663975
H1,48.345215,11.74872875
H2,48.34539236111112,11.748696249999998
H3,48.34503597222222,11.748758472222221
Z1,48.35857638888889,11.796427222222222
Z2,48.35861305555556,11.79689638888889
G11,48.35389,11.803621111111111
G12,48.35361888888889,11.803624722222223
G13,48.35334805555556,11.803628333333334
G14,48.353076944444446,11.803631944444446
G21,48.35417805555556,11.8047375
G22,48.35389444444444,11.804743055555557
G23,48.353613333333335,11.804748611111112
G24,48.35308194444445,11.805003888888889
M11,48.34583861111111,11.758352222222221
M12,48.34558194444445,11.758636666666666
M13,48.345844722222225,11.759183055555555
M14,48.34583805555556,11.759466666666667
M15,48.34585083333334,11.760013333333333
M16,48.345844444444445,11.7602975
M17,48.34585722222222,11.760844166666667
M18,48.346138333333336,11.761115277777778
APRON12,48.358658194444445,11.796741666666666
GAT-K1,48.35380305555556,11.80438138888889
